name,degrees,education,occupations,time_in_space,interests,nationality,age
John Glenn,Bachelor of Science degree,"BS (Muskingum University, None)",American Marine Corps aviator; Astronaut; Businessman; Politician,9d 19h 54m,,American,
John L. Phillips,Bachelor of Science degree; Master of Science degree; Doctorate in geophysics and space physics,"Bachelor of Science in mathematics and Russian (United States Naval Academy, 1972); Master of Science in aeronautical systems (University of West Florida, 1974); Master of Science in geophysics and space physics (University of California, Los Angeles, 1984); Doctorate in geophysics and space physics (University of California, Los Angeles, 1987)","NASA astronaut; Naval Aviator; Captain, USNR; Smith/McCool NASA Chair Professor",203d 17h 22m,,U.S.,74
John M. Fabian,Bachelor of Science degree; Master of Science degree; Doctorate in aeronautics and astronautics,"Bachelor of Science in mechanical engineering (Washington State University, 1962); Master of Science in aerospace engineering (U.S. Air Force Institute of Technology, 1964); Doctorate in aeronautics and astronautics (University of Washington, 1974)","NASA astronaut; Air Force officer; Colonel, USAF; Associate professor, U.S. Air Force Academy",13d 4h 2m,politics; environmental advocacy,U.S.,86
John M. Grunsfeld,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in physics (Massachusetts Institute of Technology, 1980); Master of Science in physics (University of Chicago, 1984); Doctor of Philosophy in physics (University of Chicago, 1988)",American physicist; NASA astronaut; Deputy Director of the Space Telescope Science Institute; Research Professor at Johns Hopkins University; NASA Chief Scientist; Associate Administrator of NASA's Science Mission Directorate,58d 15h 3m,mountaineering; flying; sailing; bicycling; music,American,66
John Michael Lounge,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Naval Academy, 1969); Master of Science in Astrophysics (University of Colorado, Boulder, 1970)","Engineer; United States Navy officer; Vietnam War veteran; NASA astronaut; Lieutenant Colonel, Texas Air National Guard; Director of Space Shuttle and Space Station Program Development, Boeing; Director for Business Development, Boeing; Director Business Development, Sure Secure Solutions",20d 2h 23m,,American,
John Oliver Creighton,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Naval Academy, 1966); Master of Science in Administration of Science and Technology (George Washington University, 1978)","Captain, USN; NASA Astronaut; Test Pilot; Aircraft Marketing & Delivery",16d 20h 24m,,U.S.,82
John-David F. Bartoe,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in physics (Lehigh University, 1966); Master of Science in physics (Georgetown University, 1974); Doctor of Philosophy in physics (Georgetown University, 1976)",Astrophysicist; Research Manager for the ISS at NASA; Director of Operations and Utilization in the Space Station Office; Chief Scientist for the Space Station; Civilian Navy Payload Specialist,7d 22h 45min,,American,80
Jon McBride,Bachelor of Science degree,"None (West Virginia University, None); Bachelor of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1971); None (Pepperdine University, None)",American naval officer; test pilot; astronaut; administrator for NASA; aviator; fighter pilot; aeronautical engineer,8d 5h 23m,,American,80
Joseph M. Acaba,Bachelor of Science degree; Master of Science degree; MEd in Curriculum and Instruction,"BS in Geology (University of California, Santa Barbara, 1990); MS in Geology (University of Arizona, 1992); MEd in Curriculum and Instruction (Texas Tech University, 2015)","Sergeant, USMCR; Educator; Hydrogeologist; NASA Astronaut","306 days, 34 minutes","reading, especially science fiction; scuba diving",American,58
Joseph P. Allen,Bachelor of Arts degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Arts in Mathematics and Physics (DePauw University, 1959); Master of Science in Physics (Yale University, 1961); Doctor of Philosophy in Physics (Yale University, 1965)",NASA astronaut; Research associate; Staff physicist,13d 1h 58m,,American,88
Joseph P. Kerwin,Bachelor of Arts degree; Doctor of Medicine,"Bachelor of Arts magna cum laude in philosophy with a minor in pre-med (College of the Holy Cross, 1953); Doctor of Medicine (M.D.) (Feinberg School of Medicine, Northwestern University, 1957)","Physician; NASA Astronaut; Captain, USN; Science Pilot; Flight Surgeon",28d 0h 50m,reading; golf; classical music,American,93
Joseph R. Tanner,Bachelor of Science degree,"Bachelor of Science in Mechanical Engineering (University of Illinois at Urbana-Champaign, 1973)",Instructor at University of Colorado Boulder; Mechanical Engineer; Naval Officer; Aviator; NASA Astronaut; Aerospace Systems Consultant,43d 13h 15m,swimming; camping; mountaineering; spending time with his family,United States,75
José M. Hernández,Bachelor of Science degree; Master of Science degree,"B.S. in electrical engineering (University of the Pacific, 1984); M.S. in electrical and computer engineering (University of California, Santa Barbara, 1986)",Engineer; Astronaut; Aquanaut; Political Candidate,13d 20h 54m,,Mexican-American,63
Judith Resnik,Bachelor of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Electrical Engineering (Carnegie Mellon University, 1970); PhD in Electrical Engineering (University of Maryland, 1977)",Electrical Engineer; Software Engineer; Biomedical Engineer; Pilot; NASA Astronaut,6d 0h 56m,mathematics; languages; piano; gourmet cooking; sports car rallies,United States,
Julie Payette,"Engineer - Bachelor of Engineering from McGill University, 1986; Master's degree","Bachelor of Engineering (BEng) in Electrical Engineering (McGill University, 1986); Master of Applied Science (MASc) in Computer Engineering (University of Toronto, 1990)",Engineer; Scientist; Astronaut; Governor General; Chief Operating Officer of Montreal Science Centre,"25 days, 11 hours, 57 minutes",Playing the piano; Singing with orchestras and choirs; Running; Skiing; Racquet sports; Scuba diving,Canada,61
Jügderdemidiin Gürragchaa,,"None (Zhukovsky Air Force Engineering Academy, 1978)","Cosmonaut; Aerospace Engineer; Flight Engineer; Major General, Mongolian Air Force; Mongolia's Defense Minister; Member of State Great Khural",7 days 20 hours 42 minutes,development of bandy,Mongolia,77
K. Megan McArthur,Bachelor of Science degree; Doctor of Philosophy (PhD),"B.S. in aerospace engineering (University of California, Los Angeles, 1993); Ph.D. in oceanography (Scripps Institution of Oceanography, University of California, San Diego, 2002)",American oceanographer; Engineer; Former NASA astronaut; Capsule Communicator (CAPCOM),"212 days, 15 hours, 21 minutes",,United States,54
Kalpana Chawla,Bachelor of Engineering; Master of Science degree; Doctor of Philosophy (PhD),"BEng (Punjab Engineering College, 1982); MSc (University of Texas at Arlington, 1984); PhD (University of Colorado, Boulder, 1988)",Astronaut; Aerospace Engineer; Mission Specialist,31d 14h 54m,Aerospace engineering; Flying; Bharatanatyam,United States,40
Karen LuJean Nyberg,Bachelor's degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor's degree in mechanical engineering (University of North Dakota, 1994); Master of Science in mechanical engineering (University of Texas, Austin, 1996); Ph.D. in mechanical engineering (University of Texas, Austin, 1998)",Mechanical engineer; NASA astronaut; Retired astronaut,180 days,running; sewing and quilting; drawing and painting; backpacking; piano; spending time with her family,American,55
Karl Gordon Henize,Bachelor of Arts degree; Master of Arts degree; Doctor of Philosophy (PhD),"Bachelor of Arts in mathematics (University of Virginia, 1947); Master of Arts in astronomy (University of Virginia, 1948); Doctor of Philosophy in astronomy (University of Michigan, 1954)","Lieutenant Commander, USNR; Astronomer; Space Scientist; NASA Astronaut; Professor at Northwestern University",7d 22h 45min,home computers; stamp collecting; mathematics; astronomy; racquetball; baseball; skin diving; mountain climbing,U.S.,
Karol J. Bobko,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Air Force Academy, 1959); Master of Science in aerospace engineering (University of Southern California, 1970)","Aerospace engineer; U.S. Air Force officer; Test pilot; Astronaut; Vice President for Strategic Programs (SPACEHAB, Inc.); Program Manager (SAIC)",16d 2h 3m,,United States,85
Kathleen Hallisey Rubins,Bachelor of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Molecular Biology (University of California, San Diego, None); Ph.D. in Cancer Biology (Stanford University, None)",Microbiologist; NASA Astronaut,"300 days, 1 hours, 31 minutes",flying airplanes; jumping out of airplanes; scuba diving; entering triathlons,American,46
Kathryn C. Thornton,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"B.S. in Physics (Auburn University, 1974); M.S. in Physics (University of Virginia, 1977); Ph.D. in Physics (University of Virginia, 1979)",Scientist; Former NASA Astronaut; Professor of Mechanical and Aerospace Engineering,40d 15h 14m,skiing; scuba diving,American,73
Kathryn D. Sullivan,Bachelor of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Earth Sciences (University of California, Santa Cruz, 1973); Doctor of Philosophy in Geology (Dalhousie University, 1978)",Geologist; Oceanographer; NASA Astronaut; US Navy Officer,22d 4h 49m,,American,73
Kathryn P. Hire,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Engineering and Management (United States Naval Academy, 1981); Master of Science in Space Technology (Florida Institute of Technology, 1991)","Captain, USN; NASA Astronaut; Orbiter Processing Facility 3 Activation Engineer; Space Shuttle Orbiter Mechanical Systems Engineer; Space Shuttle Test Project Engineer",29d 15h 59m,,United States,66
Ken Bowersox,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in aerospace engineering (United States Naval Academy, 1978); Master of Science in mechanical engineering (Columbia University, 1979)","NASA Associate Administrator for Space Operations; Captain, US Navy; NASA Astronaut; Vice President of Astronaut Safety and Mission Assurance at SpaceX","211 days, 14 hours and 12 minutes",,United States,68
Ken Mattingly,Bachelor of Science degree,"Bachelor of Science in Aeronautical Engineering (Auburn University, 1958)",American aviator; Aeronautical engineer; Test pilot; Rear admiral in the United States Navy; Astronaut,21d 4h 34m,,United States,87
Kenneth D. Cameron,Bachelor of Science degree; Master of Science degree; Master's degree,"Bachelor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1978); Master of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1979); Master of Business Administration (Michigan State University, 2002)",Naval Aviator; Test Pilot; Engineer; U.S. Marine Corps Officer; NASA Astronaut,23d 10h 11m,flying; athletics; woodworking; reading; shooting; motorcycle riding; amateur radio,United States,75
Kenneth Dale Cockrell,Bachelor's degree; Master's degree,"Bachelor's degree in Mechanical Engineering (University of Texas, Austin, 1972); Master's in Aeronautical Systems (University of West Florida, 1974)","Astronaut; Engineer; Captain, USN; Test Pilot",64d 12h 24m,sport flying; snow skiing; water skiing,United States,75
Kenneth S. Reightler Jr.,Aerospace Engineering; Aeronautical Engineering; Systems Management,"BS in Aerospace Engineering (United States Naval Academy, 1973); MS in Aeronautical Engineering (U.S. Naval Postgraduate School, 1984); MS in Systems Management (University of Southern California, 1984)","Captain, USN; NASA Astronaut; Program Manager, Lockheed Martin; Vice President of the Science, Engineering, Analysis, and Test (SEAT) Operation; Senior Vice President (COO), Lockheed Martin Space Operations; President of Lockheed Martin Space Operations; Vice President, NASA Program Integration, Lockheed Martin Space Systems Co.; Vice President, Engineering Services, ATK Space Systems Division; Robert A. Heinlein Distinguished Professor of Aerospace Engineering, U.S. Naval Academy; Instructor-skipper and Officer in Tactical Command, Offshore Sail Training Squadron",13d 15h 36m,sailing; racing Chesapeake Bay Log Canoes; reading; music; hiking; travel,United States,74
