name,degrees,education,occupations,time_in_space,interests,nationality,age
G. David Low,"['Bachelor of Science degree in Physics - Engineering (Washington & Lee University, 1978)', 'Bachelor of Science degree in mechanical engineering (Cornell University, 1980)', 'Master of Science degree in aeronautics and astronautics (Stanford University, 1983)']","[{'institution': 'Washington & Lee University', 'year': 1978, 'qualification': 'Bachelor of Science degree in Physics - Engineering'}, {'institution': 'Cornell University', 'year': 1980, 'qualification': 'Bachelor of Science degree in mechanical engineering'}, {'institution': 'Stanford University', 'year': 1983, 'qualification': 'Master of Science degree in aeronautics and astronautics'}, {'institution': 'Harvard University', 'year': None, 'qualification': None}, {'institution': 'Johns Hopkins University', 'year': None, 'qualification': None}]","['American aerospace executive', 'NASA astronaut']",29d 18h 5m,"['tennis', 'lacrosse', 'scuba diving', 'running', 'spending time with his family']",American,
Garrett Reisman,"['BS in Economics and Mechanical Engineering & Applied Mechanics (University of Pennsylvania, 1991)', 'MS in Mechanical Engineering (California Institute of Technology, 1992)', 'PhD in Mechanical Engineering (California Institute of Technology, 1997)']","[{'institution': 'University of Pennsylvania', 'year': 1991, 'qualification': 'BS in Economics and Mechanical Engineering & Applied Mechanics'}, {'institution': 'California Institute of Technology', 'year': 1992, 'qualification': 'MS in Mechanical Engineering'}, {'institution': 'California Institute of Technology', 'year': 1997, 'qualification': 'PhD in Mechanical Engineering'}]","['American engineer', 'Former NASA astronaut', 'Consultant at SpaceX', 'Professor of Astronautics Practice at the University of Southern California', 'Aquanaut', 'Astronaut Advisor at Vast']",107d 3h 15m,[],United States,57.0
Gary Payton,"['B.S. in astronautical engineering (United States Air Force Academy, 1971)', 'M.S. in astronautical and aeronautical engineering (Purdue University, 1972)']","[{'institution': 'United States Air Force Academy', 'year': 1971, 'qualification': 'B.S. in astronautical engineering'}, {'institution': 'Purdue University', 'year': 1972, 'qualification': 'M.S. in astronautical and aeronautical engineering'}]","['Pilot', 'Colonel, USAF', 'USAF Manned Spaceflight Engineer', 'Deputy Undersecretary of the Air Force', 'NASA Deputy Associate Administrator for Space Transportation Technology', ""Director of NASA's Space Transportation Division"", 'Vice President for Engineering and Operations at ORBIMAGE', 'Deputy Under Secretary of the Air Force for Space Programs', 'Deputy for Advanced Systems, Missile Defense Agency', 'Distinguished visiting professor at United States Air Force Academy']",3d 01h 33m,[],American,77.0
Gene Cernan,"['Electrical Engineer (Purdue University, 1956)', 'Aeronautical Engineer (U.S. Naval Postgraduate School, 1963)']","[{'institution': 'Purdue University', 'year': 1956, 'qualification': 'Bachelor of Science in Electrical Engineering'}, {'institution': 'U.S. Naval Postgraduate School', 'year': 1963, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['Astronaut', 'Naval Aviator', 'Electrical Engineer', 'Aeronautical Engineer', 'Fighter Pilot']",23d 14h 15m,[],American,
Gennady Manakov,[],[],"['Test pilot', 'Cosmonaut', 'Colonel, Soviet Air Force']",309d 21h 18m,[],Soviet / Russian,69.0
Gennady Padalka,[],"[{'institution': 'Yeysk Military Aviation College', 'year': 1979, 'qualification': None}]","['Pilot', 'Colonel, Russian Air Force', 'Cosmonaut']","878 days, 11 hours, and 29 minutes","['theater', 'parachute sport', 'diving']",Russia,67.0
Gennady Sarafanov,[],[],"['Pilot', 'Colonel, Soviet Air Force']",2 days 0 hours 12 minutes,[],Soviet,
Gennady Strekalov,"[""Engineer's diploma (N. E. Bauman Moscow Higher Technical School, 1965)"", 'Degree in technical science (N. E. Bauman Moscow Higher Technical School)']","[{'institution': 'N. E. Bauman Moscow Higher Technical School', 'year': 1965, 'qualification': ""Engineer's diploma""}, {'institution': 'N. E. Bauman Moscow Higher Technical School', 'year': None, 'qualification': 'Degree in technical science'}]","['Flight Engineer', 'Engineer', 'Cosmonaut', 'Administrator at RSC Energia']",268 days 22 hours 22 minutes,[],Soviet,
George D. Zamka,"['Bachelor of Science in Mathematics (United States Naval Academy, 1984)', 'Master of Science in Engineering Management (Florida Institute of Technology, 1997)']","[{'institution': 'United States Naval Academy', 'year': 1984, 'qualification': 'Bachelor of Science in Mathematics'}, {'institution': 'Florida Institute of Technology', 'year': 1997, 'qualification': 'Master of Science in Engineering Management'}]","['Colonel, USMC', 'NASA Astronaut', 'Pilot', 'Commander']",28d 20h 32m,"['weightlifting', 'running', 'bicycling', 'scuba diving', 'boating']",U.S.,63.0
George Driver Nelson,"['Bachelor of Science in Physics (Harvey Mudd College, 1972)', 'Master of Science in Astronomy (University of Washington, 1974)', 'Doctor of Philosophy in Astronomy (University of Washington, 1978)']","[{'institution': 'Harvey Mudd College', 'year': 1972, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'University of Washington', 'year': 1974, 'qualification': 'Master of Science in Astronomy'}, {'institution': 'University of Washington', 'year': 1978, 'qualification': 'Doctor of Philosophy in Astronomy'}]","['Physicist', 'Astronomer', 'Science Educator', 'Retired NASA Astronaut', 'Assistant Provost at the University of Washington', 'Director of the Science, Mathematics and Technology Education program at Western Washington University']",17d 2h 43m,"['golf', 'reading', 'swimming', 'running', 'music']",American,75.0
Georgy Beregovoy,[],"[{'institution': 'Air Force Academy', 'year': 1956, 'qualification': None}]","['Pilot', 'Lieutenant General, Soviet Air Forces', 'Cosmonaut']",3d 22h 50m,[],Soviet Union,47.0
Georgy Dobrovolsky,[],[],"['Pilot', 'Podpolkovnik , Soviet Air Force']",23d 18h 21m,[],Soviet Union,43.0
Georgy Grechko,['Doctorate in Mathematics (Leningrad Institute of Mechanics)'],"[{'institution': 'Leningrad Institute of Mechanics', 'year': None, 'qualification': 'Doctorate in Mathematics'}]","['Engineer', 'Soviet Cosmonaut', 'Lecturer on Atmospheric Physics']",134d 20h 32m,[],Soviet / Russian,
Georgy Shonin,[],[],"['Pilot', 'Cosmonaut', 'Lieutenant General, Soviet Air Force']",4d 22h 42m,[],Ukraine,
Gerald Carr,"['Bachelor of Engineering in mechanical engineering (University of Southern California, 1954)', 'Bachelor of Science in aeronautical engineering (U.S. Naval Postgraduate School, 1961)', 'Master of Science in aeronautical engineering (Princeton University, 1962)']","[{'institution': 'University of Southern California', 'year': 1954, 'qualification': 'Bachelor of Engineering in mechanical engineering'}, {'institution': 'Naval Postgraduate School', 'year': 1961, 'qualification': 'Bachelor of Science in aeronautical engineering'}, {'institution': 'Princeton University', 'year': 1962, 'qualification': 'Master of Science in aeronautical engineering'}]","['Mechanical and aeronautical engineer', 'Marine Corps officer', 'Naval aviator', 'NASA astronaut', 'Colonel, USMC']",84d 1h 15m,[],American,
Gerhard Thiele,"['Doctorate in Environmental Science (University of Heidelberg, 1985)']","[{'institution': 'University of Munich', 'year': None, 'qualification': 'Physics'}, {'institution': 'University of Heidelberg', 'year': 1985, 'qualification': 'Doctorate in Environmental Science'}]","['Physicist', 'Operations/Weapons Officer', 'Astronaut', 'Resident Fellow', ""Head of ESA's HSO-K""]",11d 05h 39m,[],German,72.0
Gherman Titov,[],[],"['Pilot', 'General-Colonel, Soviet Air Force', 'Cosmonaut', 'Communist Politician']",1d 01h 18m,['gymnastics'],Russian,
Gordon Cooper,"['Bachelor of Science degree in Aerospace Engineering (U.S. Air Force Institute of Technology, 1956)']","[{'institution': 'University of Hawaiʻi at Mānoa', 'year': None, 'qualification': None}, {'institution': 'University of Maryland, College Park', 'year': None, 'qualification': None}, {'institution': 'Air University', 'year': 1956, 'qualification': 'Bachelor of Science'}]","['Aerospace engineer', 'Test pilot', 'United States Air Force pilot', 'Colonel, USAF', 'Astronaut']",9d 9h 14m,"['racing cars', 'racing boats', 'UFOs']",United States,
Gregory Bruce Jarvis,"['Bachelor of Science in electrical engineering (State University of New York at Buffalo, 1967)', 'Master of Science in electrical engineering (Northeastern University, 1969)']","[{'institution': 'State University of New York at Buffalo', 'year': 1967, 'qualification': 'Bachelor of Science in electrical engineering'}, {'institution': 'Northeastern University', 'year': 1969, 'qualification': 'Master of Science in electrical engineering'}]","['Engineer', 'Astronaut', 'Captain, USAF', 'Payload Specialist, Hughes Aircraft']",,[],American,41.0
Gregory C. Johnson,"['Bachelor of Science in Aerospace Engineering (University of Washington, 1977)']","[{'institution': 'University of Washington', 'year': 1977, 'qualification': 'Bachelor of Science in Aerospace Engineering'}]","['Naval Officer', 'Naval Aviator', 'Test Pilot', 'Aerospace Engineer', 'NASA Astronaut']",12d 21h 38m,"['athletics', 'cycling', 'swimming', 'auto repair']",United States,71.0
Gregory Chamitoff,"['B.S. Electrical Engineering (California Polytechnic State University, 1984)', 'M.S. Aeronautical Engineering (California Institute of Technology, 1985)', 'Ph.D. Aeronautics and Astronautics (Massachusetts Institute of Technology, 1992)', 'M.S. Physical Sciences (Space Science, University of Houston–Clear Lake, 2002)']","[{'institution': 'California Polytechnic State University', 'year': 1984, 'qualification': 'B.S. Electrical Engineering'}, {'institution': 'California Institute of Technology', 'year': 1985, 'qualification': 'M.S. Aeronautical Engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1992, 'qualification': 'Ph.D. Aeronautics and Astronautics'}, {'institution': 'University of Houston–Clear Lake', 'year': 2002, 'qualification': 'M.S. Physical Sciences (Space Science)'}]","['Engineer', 'Astronaut', 'Professor of Engineering Practice']",198d 18h 2m,"['scuba diving', 'backpacking', 'flying', 'skiing', 'racquetball', 'Aikido', 'juggling', 'magic', 'guitar', 'chess']",USA,63.0
Gregory H. Johnson,"['Bachelor of Science in aeronautical engineering (United States Air Force Academy, 1984)', 'Master of Science in flight structures engineering (Columbia University, 1985)', 'Master of Business Administration (University of Texas at Austin, 2005)']","[{'institution': 'United States Air Force Academy', 'year': 1984, 'qualification': 'Bachelor of Science in aeronautical engineering'}, {'institution': 'Columbia University', 'year': 1985, 'qualification': 'Master of Science in flight structures engineering'}, {'institution': 'University of Texas at Austin', 'year': 2005, 'qualification': 'Master of Business Administration'}]","['NASA astronaut', 'Colonel, USAF', 'President and Executive Director for CASIS']",31d 11h 50m,[],American,63.0
Gregory J. Harbaugh,"['Bachelor of Science in Aeronautical and Astronautical Engineering (Purdue University, 1978)', 'Master of Science in Physical Science (University of Houston–Clear Lake, 1986)']","[{'institution': 'Purdue University', 'year': 1978, 'qualification': 'Bachelor of Science in Aeronautical and Astronautical Engineering'}, {'institution': 'University of Houston–Clear Lake', 'year': 1986, 'qualification': 'Master of Science in Physical Science'}]","['Aeronautical/Astronautical Engineer', 'NASA Astronaut', 'Museum Director', ""COO of Sun 'n Fun Fly-in, Inc."", 'CEO/President of the Sigma Chi Foundation', 'Founder/Chairman/CEO of InnerSpace Consultants']",34d 1h 59m,[],U.S.,69.0
Gregory T. Linteris,"['Bachelor of Science in Chemical Engineering (Princeton University, 1979)', 'Master of Science in Mechanical Engineering (Stanford University, 1984)', 'Doctorate in Mechanical and Aerospace Engineering (Princeton University, 1990)']","[{'institution': 'Princeton University', 'year': 1979, 'qualification': 'Bachelor of Science in Chemical Engineering'}, {'institution': 'Stanford University', 'year': 1984, 'qualification': 'Master of Science in Mechanical Engineering'}, {'institution': 'Princeton University', 'year': 1990, 'qualification': 'Doctorate in Mechanical and Aerospace Engineering'}]","['Scientist', 'Payload Specialist', 'Staff Scientist']",19d 15h 58m,[],American,67.0
Guion Stewart Bluford Jr.,"['Bachelor of Science degree in aerospace engineering (Pennsylvania State University, 1964)', 'Master of Science degree in Aerospace Engineering (Air Force Institute of Technology, 1974)', 'Doctor of Philosophy degree in Aerospace Engineering with a minor in Laser Physics (Air Force Institute of Technology, 1978)', 'Master of Business Administration degree (University of Houston–Clear Lake, 1987)']","[{'institution': 'Pennsylvania State University', 'year': 1964, 'qualification': 'Bachelor of Science in Aerospace Engineering'}, {'institution': 'Air Force Institute of Technology', 'year': 1974, 'qualification': 'Master of Science in Aerospace Engineering'}, {'institution': 'Air Force Institute of Technology', 'year': 1978, 'qualification': 'Doctor of Philosophy in Aerospace Engineering with a minor in Laser Physics'}, {'institution': 'University of Houston–Clear Lake', 'year': 1987, 'qualification': 'Master of Business Administration'}]","['Aerospace engineer', 'Retired United States Air Force officer', 'Fighter pilot', 'NASA astronaut']",28 days 16 hours 33 minutes,"['reading', 'swimming', 'jogging', 'racquetball', 'handball', 'scuba diving', 'golf']",United States,82.0
