Profile.Astronaut Numbers.Overall,Profile.Astronaut Numbers.Nationwide,Profile.Name,Profile.Gender,Profile.Birth Year,Profile.Nationality,Profile.Military,Profile.Selection.Group,Profile.Selection.Year,Profile.Lifetime Statistics.Mission count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Mission.Vechicles.Orbit,Mission.Vechicles.Decent,Mission.Durations.Mission duration,Profile.Lifetime Statistics.Mission duration,Mission.Durations.EVA duration,Profile.Lifetime Statistics.EVA duration,cleaned_name,international_country,international_gender,international_flights,international_total_flights,international_flight_time,wiki_degrees,wiki_education,wiki_occupations,wiki_time_in_space,wiki_interests,wiki_nationality,wiki_age
166,95,"Lind, Don L.",male,1930,U.S.,True,NASA- 5,1966,1,MSP,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,168.0,168.0,0.0,0.0,Don L. Lind,United States,Man,STS-51-B (1985),1,007:00:08,Phd; Phd In High-Energy Nuclear Physics In 1964; Master'S Degree Inelectrical Engineeringfromstanford Uni; Master'S Degree In Electrical Engineering From Stanford; Phd Inhigh-Energy Nuclear Physicsin 1964,"Following his military service obligation, he earned a PhD inhigh-energy nuclear physicsfrom theUniversity of California, Berkeleyin 1964; 1
               

                Early life and education
               









                1; University of Nebraska Press; Following his military service obligation, he earned a PhD in high-energy nuclear physics from the University of California, Berkeley in 1964; He attended Midvale Elementary School and graduated fromJordan High Schoolin 1948",Professor; Naval Aviator; Commander; Scientist; Geologist,168 hours in space,ed flying; ed flying; ed flying,American,1930
167,96,"Lodewijk, van der Berg",male,1932,U.S.,True,PS,1983,1,PSP,1985,Spacelab-3,STS-51-B,STS-51-B,STS-51-B,168.525,168.525,0.0,0.0,van der Berg Lodewijk,,,,,,Master,,Scientist; General; Physicist; Astronaut,None,,Brazilian,1954
168,97,"Wang, Taylor Gun-Jin",male,1940,U.S.,True,Spacelab-3 mission payload specialist,1984,1,PSP,1985,spacelab-3,STS-51B,STS-51B,STS-51B,168.525,168.525,0.0,0.0,Taylor Gun-Jin Wang,United States,Man,STS-51-B (1985),1,007:00:08,"Phd; Doctorate, Wang Joined The; Phd ); Bachelor Of Science; Bachelor Of Science In 1967, His Master Of Science In 1968","Career and research
After completing his doctorate, Wang joined theCalifornia Institute of Technology'sJet Propulsion Laboratory(JPL) in 1972, as a senior scientist; Wang started studying physics at theUniversity of California, Los Angeles, in 1963; [4]

Professorship
Wang later became a Centennial Professor atVanderbilt UniversityinNashville,Tennessee; Educational Award Vanderbilt University Alumni League 1996; He studied his later part ofelementary schoolinKaohsiung, and graduated from theAffiliated Senior High School of National Taiwan Normal UniversityinTaipei,Taiwan",Professor; Commander; Scientist; General; Astronaut,168 hours in space,,Chinese,1940
169,98,"Creighton, John O.",male,1943,U.S.,True,NASA- 8,1978,3,pilot,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,170.0,404.0,0.0,0.0,John O. Creighton,United States,Man,"STS-51-G (1985), STS-36 (1990), STS-48 (1991)",3,016:20:24,Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science; Master Of Science Degree In Administration Of Science An; Master Of Science,"- Creighton started flight training following graduation from the United States Naval Academy and received his aviator wings in October 1967; Naval Test Pilot SchoolatNaval Air Station Patuxent River,Maryland, and upon graduation was assigned as a project test pilot with the Service Test Division at NAS Patuxent River; - Military career
  - Creighton started flight training following graduation from the United States Naval Academy and received his aviator wings in October 1967; Military career
Creighton started flight training following graduation from theUnited States Naval Academyand received hisaviator wingsin October 1967; Naval Test Pilot School at Naval Air Station Patuxent River , Maryland , and upon graduation was assigned as a project test pilot with the Service Test Division at NAS Patuxent River",Commander; Test Pilot; General; Captain; Astronaut,403 hours in space,,American,1943
169,98,"Creighton, John O.",male,1943,U.S.,True,NASA- 8,1978,3,commander,1990,STS-36,STS-36,STS-36,STS-36,106.0,404.0,0.0,0.0,John O. Creighton,United States,Man,"STS-51-G (1985), STS-36 (1990), STS-48 (1991)",3,016:20:24,Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science; Master Of Science Degree In Administration Of Science An; Master Of Science,"- Creighton started flight training following graduation from the United States Naval Academy and received his aviator wings in October 1967; Naval Test Pilot SchoolatNaval Air Station Patuxent River,Maryland, and upon graduation was assigned as a project test pilot with the Service Test Division at NAS Patuxent River; - Military career
  - Creighton started flight training following graduation from the United States Naval Academy and received his aviator wings in October 1967; Military career
Creighton started flight training following graduation from theUnited States Naval Academyand received hisaviator wingsin October 1967; Naval Test Pilot School at Naval Air Station Patuxent River , Maryland , and upon graduation was assigned as a project test pilot with the Service Test Division at NAS Patuxent River",Commander; Test Pilot; General; Captain; Astronaut,403 hours in space,,American,1943
169,98,"Creighton, John O.",male,1943,U.S.,True,NASA- 8,1978,3,commander,1991,STS-48,STS-48,STS-48,STS-48,128.0,404.0,0.0,0.0,John O. Creighton,United States,Man,"STS-51-G (1985), STS-36 (1990), STS-48 (1991)",3,016:20:24,Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science; Master Of Science Degree In Administration Of Science An; Master Of Science,"- Creighton started flight training following graduation from the United States Naval Academy and received his aviator wings in October 1967; Naval Test Pilot SchoolatNaval Air Station Patuxent River,Maryland, and upon graduation was assigned as a project test pilot with the Service Test Division at NAS Patuxent River; - Military career
  - Creighton started flight training following graduation from the United States Naval Academy and received his aviator wings in October 1967; Military career
Creighton started flight training following graduation from theUnited States Naval Academyand received hisaviator wingsin October 1967; Naval Test Pilot School at Naval Air Station Patuxent River , Maryland , and upon graduation was assigned as a project test pilot with the Service Test Division at NAS Patuxent River",Commander; Test Pilot; General; Captain; Astronaut,403 hours in space,,American,1943
170,99,"Nagel, Steven R.",male,1946,U.S.,True,NASA-8,1978,4,MSP,1985,STS-51G,STS-51G,STS-51G,STS-51G,170.0,522.0,0.0,0.0,Steven R. Nagel,United States,Man,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical And Astronautic; Master Of Science Degree In Mechanical Engineering From; Master Of Science,"- Nagel received his commission in 1969 through the Air Force Reserve Officer Training Corps (AFROTC) program at the University of Illinois; - In 2011, Nagel and his wife Linda moved to Columbia, Missouri, where they both were teaching at the University of Missouri; - Specifically he worked at the University of Missouri College of Engineering; Nagel attended theUSAF Test Pilot SchoolatEdwards Air Force Base,California, from February 1975 to December 1975; [2]

Post-NASA career
In 2011, Nagel and his wife Linda moved to Columbia, Missouri, where they both were teaching at theUniversity of Missouri",Professor; Mechanical Engineer; Commander; Test Pilot; Colonel,723 hours in space,"included sport flying , amateur radio operations and music; included sport flying , amateur radio operations and music; included sportflying,amateur radiooperations andmusic",American,1946
170,99,"Nagel, Steven R.",male,1946,U.S.,True,NASA-8,1978,4,pilot,1985,STS-61A,STS-61A,STS-61A,STS-61A,169.0,522.0,0.0,0.0,Steven R. Nagel,United States,Man,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical And Astronautic; Master Of Science Degree In Mechanical Engineering From; Master Of Science,"- Nagel received his commission in 1969 through the Air Force Reserve Officer Training Corps (AFROTC) program at the University of Illinois; - In 2011, Nagel and his wife Linda moved to Columbia, Missouri, where they both were teaching at the University of Missouri; - Specifically he worked at the University of Missouri College of Engineering; Nagel attended theUSAF Test Pilot SchoolatEdwards Air Force Base,California, from February 1975 to December 1975; [2]

Post-NASA career
In 2011, Nagel and his wife Linda moved to Columbia, Missouri, where they both were teaching at theUniversity of Missouri",Professor; Mechanical Engineer; Commander; Test Pilot; Colonel,723 hours in space,"included sport flying , amateur radio operations and music; included sport flying , amateur radio operations and music; included sportflying,amateur radiooperations andmusic",American,1946
170,99,"Nagel, Steven R.",male,1946,U.S.,True,NASA-8,1978,4,commander,1991,STS-37,STS-37,STS-37,STS-37,143.0,522.0,0.0,0.0,Steven R. Nagel,United States,Man,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical And Astronautic; Master Of Science Degree In Mechanical Engineering From; Master Of Science,"- Nagel received his commission in 1969 through the Air Force Reserve Officer Training Corps (AFROTC) program at the University of Illinois; - In 2011, Nagel and his wife Linda moved to Columbia, Missouri, where they both were teaching at the University of Missouri; - Specifically he worked at the University of Missouri College of Engineering; Nagel attended theUSAF Test Pilot SchoolatEdwards Air Force Base,California, from February 1975 to December 1975; [2]

Post-NASA career
In 2011, Nagel and his wife Linda moved to Columbia, Missouri, where they both were teaching at theUniversity of Missouri",Professor; Mechanical Engineer; Commander; Test Pilot; Colonel,723 hours in space,"included sport flying , amateur radio operations and music; included sport flying , amateur radio operations and music; included sportflying,amateur radiooperations andmusic",American,1946
170,99,"Nagel, Steven R.",male,1946,U.S.,True,NASA-8,1978,4,commander,1993,STS-55,STS-55,STS-55,STS-55,240.0,522.0,0.0,0.0,Steven R. Nagel,United States,Man,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical And Astronautic; Master Of Science Degree In Mechanical Engineering From; Master Of Science,"- Nagel received his commission in 1969 through the Air Force Reserve Officer Training Corps (AFROTC) program at the University of Illinois; - In 2011, Nagel and his wife Linda moved to Columbia, Missouri, where they both were teaching at the University of Missouri; - Specifically he worked at the University of Missouri College of Engineering; Nagel attended theUSAF Test Pilot SchoolatEdwards Air Force Base,California, from February 1975 to December 1975; [2]

Post-NASA career
In 2011, Nagel and his wife Linda moved to Columbia, Missouri, where they both were teaching at theUniversity of Missouri",Professor; Mechanical Engineer; Commander; Test Pilot; Colonel,723 hours in space,"included sport flying , amateur radio operations and music; included sport flying , amateur radio operations and music; included sportflying,amateur radiooperations andmusic",American,1946
171,100,"Lucid, Shannon W.",female,1943,U.S.,True,NASA- 8,1978,5,MSP,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,169.0,5353.0,0.0,0.0,Shannon W. Lucid,United States,Woman,"STS-51-G (1985), STS-34 (1989), STS-43 (1991), STS-58 (1993), STS-76 (1996)",5,223:02:52,"Phd; Master The Basics Of Aviation Safety, As Well As The Spe; Phd In Biochemistry In 1973; Bachelor'S Degree; Bachelor'S Degree In Chemistry In 1963","They also studied the effects of microgravity on their sensory perception, and the mechanism of space adaptation syndrome; Oklahoma City: University of Oklahoma; Lucid is a graduate of theUniversity of Oklahoma, where she earned abachelor's degreein chemistry in 1963, a master's degree inbiochemistryin 1970, and aPhDin biochemistry in 1973; Lincoln, Nebraska: University of Nebraska Press; They moved to Lubbock, Texas , and then settled in Bethany, Oklahoma , the family's original hometown, where Wells graduated from Bethany High School in 1960",Commercial Pilot; Commander; Scientist; Chemist; General,188 days in space,"ed immensely was
                

                  the mirror of her dreams; ed immensely was the mirror of her dreams , but she reached the end only to find that it ended on a; ed immensely was the mirror of her dreams , but she reached the end only to find that it ended on a",American,1943
